MS.Zoning,Lot.Frontage,Lot.Area,Street,Alley,Land.Contour,Lot.Config,Neighborhood,Condition.1,Condition.2,Bldg.Type,House.Style,Overall.Qual,Year.Built,Year.Remod.Add,Roof.Style,Roof.Matl,Exterior.1st,Exterior.2nd,Mas.Vnr.Type,Mas.Vnr.Area,Exter.Qual,Foundation,Bsmt.Qual,Bsmt.Cond,Bsmt.Exposure,BsmtFin.Type.1,BsmtFin.SF.1,Total.Bsmt.SF,Heating,Heating.QC,Central.Air,Electrical,X1st.Flr.SF,X2nd.Flr.SF,Gr.Liv.Area,Bsmt.Full.Bath,Full.Bath,Half.Bath,Kitchen.Qual,TotRms.AbvGrd,Functional,Fireplaces,Fireplace.Qu,Garage.Type,Garage.Finish,Garage.Cars,Garage.Area,Garage.Qual,Garage.Cond,Paved.Drive,Wood.Deck.SF,Open.Porch.SF,Misc.Feature,Sale.Type,Sale.Condition,SalePrice
RL,0,11875,Pave,NA,Lvl,Inside,Mitchel,Norm,Norm,1Fam,1Story,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,NA,0,2,PConc,4,3,1,1,0,1344,GasA,4,1,4,1344,0,1344,0,2,0,2,7,Typ,1,4,Attchd,1,2,686,3,3,Y,328,0,NA,WD ,Normal,166500
RL,63,9457,Pave,NA,Lvl,Inside,Nonemes,Norm,Norm,1Fam,1Story,5,1970,1990,Gable,CompShg,MetalSd,MetalSd,NA,0,2,CBlock,3,3,1,5,566,925,GasA,2,1,4,1422,0,1422,1,1,0,2,7,Min2,0,0,Detchd,1,2,576,3,3,Y,252,0,NA,WD ,Normal,155000
RL,85,16056,Pave,NA,Lvl,Inside,StoneBr,Norm,Norm,1Fam,2Story,9,2005,2006,Hip,CompShg,CemntBd,CmentBd,Stone,208,3,PConc,5,3,3,6,240,1992,GasA,4,1,4,1992,876,2868,0,3,1,4,11,Typ,1,4,BuiltIn,3,3,716,3,3,Y,214,108,NA,New,Partial,556581
RL,83,13383,Pave,NA,Lvl,Inside,Mitchel,Norm,Norm,1Fam,1Story,5,1969,2000,Hip,CompShg,HdBoard,HdBoard,BrkFace,176,2,CBlock,3,3,1,4,594,1188,GasA,4,1,4,1404,0,1404,0,2,0,2,7,Typ,1,1,Attchd,1,2,504,3,3,Y,0,16,NA,WD ,Normal,160000
RL,0,12388,Pave,NA,Lvl,Inside,NWAmes,Norm,Norm,1Fam,2Story,7,1980,1991,Gable,CompShg,Plywood,Plywood,BrkFace,229,2,CBlock,4,3,1,5,602,1043,GasA,2,1,4,1539,1134,2673,0,2,1,3,9,Typ,1,3,BuiltIn,2,2,441,3,3,Y,178,84,NA,WD ,Normal,249000
RL,60,9000,Pave,NA,Lvl,FR2,Nonemes,Norm,Norm,Duplex,2Story,5,1974,1974,Gable,CompShg,VinylSd,VinylSd,NA,0,2,CBlock,4,3,2,1,0,896,GasA,2,1,4,896,896,1792,0,2,2,2,8,Typ,0,0,Detchd,1,2,480,3,3,Y,0,45,NA,WD ,Normal,133000
RL,68,11250,Pave,NA,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162,3,PConc,4,3,2,6,486,920,GasA,4,1,4,920,866,1786,1,2,1,3,6,Typ,1,3,Attchd,2,2,608,3,3,Y,0,42,NA,WD ,Normal,223500
RL,47,53504,Pave,NA,HLS,CulDSac,StoneBr,Norm,Norm,1Fam,2Story,8,2003,2003,Hip,CompShg,CemntBd,Wd Shng,BrkFace,603,4,PConc,4,3,4,5,1416,1650,GasA,4,1,4,1690,1589,3279,1,3,1,4,12,Mod,1,4,BuiltIn,3,3,841,3,3,Y,503,36,NA,WD ,Normal,538000
RL,0,20781,Pave,NA,Lvl,CulDSac,NWAmes,PosN,Norm,1Fam,1Story,7,1968,2003,Hip,CompShg,BrkFace,HdBoard,NA,0,2,CBlock,3,3,1,4,297,1568,GasA,2,1,4,2156,0,2156,0,2,0,2,9,Typ,1,4,Attchd,2,2,508,4,3,Y,0,80,NA,WD ,Normal,262500
RL,78,11419,Pave,NA,Lvl,Corner,Nonemes,Artery,Norm,1Fam,2Story,7,1948,1999,Gable,CompShg,WdShing,Wd Shng,NA,0,2,CBlock,3,3,2,5,699,699,GasA,4,1,3,801,726,1527,1,1,1,2,6,Typ,1,4,Attchd,1,2,410,3,3,Y,0,0,NA,WD ,Normal,152500
RL,0,9000,Pave,NA,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,4,1945,1950,Gable,CompShg,Wd Sdng,Wd Sdng,NA,0,1,Slab,0,0,0,0,0,0,GasA,2,0,3,998,0,998,0,1,0,2,5,Min2,0,0,2Types,1,2,460,2,3,Y,0,0,NA,WD ,Normal,89500
RL,70,7728,Pave,NA,Lvl,Inside,Nonemes,Norm,Norm,Duplex,SLvl,5,1962,1962,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,120,2,CBlock,3,3,3,5,803,1106,GasA,2,1,4,1190,0,1190,1,1,0,2,6,Typ,0,0,Attchd,1,2,540,3,3,Y,0,18,NA,WD ,Normal,132500
RL,65,14006,Pave,NA,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,144,3,PConc,4,3,0,1,0,936,GasA,4,1,4,936,840,1776,0,2,1,3,7,Typ,1,3,Attchd,2,2,474,3,3,Y,144,96,NA,WD ,Normal,192500
RL,0,8883,Pave,NA,Lvl,Inside,SawyerW,Norm,Norm,1Fam,2Story,7,1988,1988,Gable,CompShg,HdBoard,HdBoard,BrkFace,360,3,PConc,4,3,1,6,608,929,GasA,4,1,4,946,927,1873,1,2,1,3,7,Typ,1,3,Attchd,2,2,619,3,3,Y,108,48,NA,WD ,Normal,207000
RL,59,23303,Pave,NA,Lvl,CulDSac,NridgHt,Norm,Norm,1Fam,2Story,8,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,20,3,PConc,5,3,3,6,1230,1508,GasA,4,1,4,1508,1012,2520,1,2,1,4,10,Typ,1,4,BuiltIn,3,3,640,3,3,Y,192,273,NA,WD ,Family,409900
RL,61,3782,Pave,NA,Lvl,CulDSac,Greens,Norm,Norm,TwnhsE,1Story,8,1981,1981,Gable,CompShg,Wd Sdng,Plywood,NA,0,3,CBlock,4,3,4,6,960,1226,GasA,2,1,4,1226,0,1226,1,1,0,3,4,Typ,2,3,Attchd,3,2,484,3,3,Y,133,78,NA,WD ,Normal,211500
RL,0,12160,Pave,NA,Lvl,Inside,Nonemes,Norm,Norm,1Fam,1Story,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180,2,CBlock,3,3,1,3,1000,1188,GasA,1,1,4,1188,0,1188,1,1,0,2,6,Typ,0,0,Attchd,2,2,531,3,3,Y,0,0,NA,COD,Abnorml,142000
RL,78,17503,Pave,NA,Lvl,Inside,Nonemes,Artery,Norm,1Fam,1.5Fin,6,1948,1950,Gable,CompShg,VinylSd,VinylSd,NA,0,2,CBlock,3,3,1,1,0,912,GasA,2,1,4,912,546,1458,0,1,0,2,6,Typ,1,4,Attchd,1,1,330,3,3,Y,192,0,NA,WD ,Abnorml,97500
RL,0,9759,Pave,NA,Lvl,Inside,Nonemes,Norm,Norm,1Fam,1Story,5,1966,1966,Gable,CompShg,Plywood,Plywood,NA,0,2,CBlock,3,3,1,4,799,1051,GasA,2,1,4,1051,0,1051,1,1,0,2,6,Typ,0,0,Attchd,2,1,264,3,3,Y,182,88,NA,WD ,Normal,124400
RM,21,1596,Pave,NA,Lvl,Inside,MeadowV,Norm,Norm,Twnhs,SLvl,4,1973,1973,Gable,CompShg,CemntBd,CmentBd,NA,0,2,CBlock,4,3,4,6,462,462,GasA,2,1,4,526,462,988,1,1,0,2,5,Typ,0,0,BuiltIn,1,1,297,3,3,Y,120,101,NA,WD ,Normal,91000
RL,108,11358,Pave,NA,Lvl,Corner,NWAmes,Norm,Norm,1Fam,1Story,7,1972,1987,Hip,CompShg,Wd Sdng,Wd Sdng,NA,0,2,CBlock,3,3,1,4,346,1124,GasA,2,1,4,1610,0,1610,0,2,0,3,8,Typ,1,3,Attchd,2,2,515,3,3,Y,202,0,NA,WD ,Normal,185000
FV,24,2645,Pave,Pave,Lvl,Inside,Somerst,Norm,Norm,Twnhs,2Story,8,1999,1999,Gable,CompShg,MetalSd,MetalSd,BrkFace,466,3,PConc,4,3,1,6,612,960,GasA,4,1,4,962,624,1586,1,2,1,3,7,Typ,0,0,Detchd,1,2,480,3,3,Y,169,0,NA,WD ,Normal,170000
RL,80,8146,Pave,NA,Lvl,Corner,OldTown,Norm,Norm,1Fam,2Story,4,1900,2003,Gable,CompShg,MetalSd,MetalSd,NA,0,3,BrkTil,2,3,1,1,0,405,GasA,3,1,4,717,322,1039,0,1,0,2,6,Typ,0,0,Detchd,1,1,281,3,3,N,0,0,NA,WD ,Normal,114000
RL,60,7200,Pave,NA,Lvl,Corner,Nonemes,Norm,Norm,1Fam,1Story,5,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,NA,0,2,CBlock,3,3,2,4,234,900,GasA,2,1,4,900,0,900,0,1,0,3,5,Typ,0,0,Detchd,1,2,576,3,3,Y,222,32,NA,WD ,Normal,134800
RL,65,7150,Pave,NA,Lvl,Inside,Nonemes,Norm,Norm,1Fam,1Story,5,1967,1967,Gable,CompShg,HdBoard,HdBoard,BrkFace,60,2,CBlock,3,3,1,4,432,892,GasA,2,1,4,892,0,892,0,1,0,2,5,Typ,0,0,Attchd,2,1,288,3,3,Y,0,0,NA,WD ,Normal,100000
RL,70,11218,Pave,NA,Lvl,Inside,SawyerW,Norm,Norm,1Fam,2Story,6,1992,1992,Gable,CompShg,Wd Sdng,Wd Sdng,NA,0,3,PConc,4,3,1,1,0,1055,GasA,4,1,4,1055,790,1845,0,2,1,3,8,Typ,1,3,Attchd,2,2,462,3,3,Y,635,104,Shed,WD ,Normal,189000
RL,68,8814,Pave,NA,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,2005,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,80,3,PConc,4,3,1,6,925,1274,GasA,4,1,4,1274,0,1274,1,2,0,3,6,Typ,0,0,Attchd,2,2,508,3,3,Y,264,98,NA,New,Partial,203000
RL,51,3635,Pave,NA,Lvl,Inside,Blmngtn,Norm,Norm,TwnhsE,1Story,7,2007,2007,Hip,CompShg,VinylSd,VinylSd,BrkFace,130,3,PConc,4,3,1,5,988,1386,GasA,4,1,4,1569,0,1569,0,2,0,3,7,Typ,1,3,Attchd,2,3,660,3,3,Y,143,20,NA,WD ,Normal,175900
RL,60,10200,Pave,NA,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,1940,1997,Gable,CompShg,Wd Sdng,Wd Sdng,NA,0,2,PConc,3,3,1,1,0,672,GasA,4,1,4,672,0,672,0,1,0,2,4,Typ,0,0,Detchd,1,1,240,3,3,N,168,0,NA,WD ,Normal,108000
RL,0,14364,Pave,NA,Low,Inside,SawyerW,Norm,Norm,1Fam,2Story,7,1988,1989,Gable,CompShg,Plywood,Plywood,BrkFace,128,3,CBlock,4,3,4,6,1065,1157,GasA,4,1,4,1180,882,2062,1,2,1,2,7,Typ,1,4,Attchd,3,2,454,3,3,Y,60,55,NA,WD ,Normal,277000
RM,40,4400,Pave,NA,Lvl,Inside,OldTown,Norm,Norm,1Fam,1.5Fin,6,1920,1950,Gable,CompShg,Stucco,Stucco,NA,0,2,BrkTil,2,3,1,1,0,648,GasA,2,1,3,734,384,1118,0,1,0,2,6,Typ,0,0,Detchd,1,2,440,3,3,Y,0,0,NA,WD ,Normal,116000
RL,0,24090,Pave,NA,Lvl,Inside,ClearCr,Norm,Norm,1Fam,2Story,7,1940,1950,Gable,CompShg,MetalSd,MetalSd,NA,0,2,CBlock,3,3,2,1,0,1032,GasA,4,1,4,1207,1196,2403,0,2,0,2,10,Typ,2,3,Attchd,1,1,349,3,3,Y,56,0,NA,COD,Normal,244400
RL,75,11750,Pave,NA,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,204,3,PConc,4,3,2,6,20,1546,GasA,4,1,4,1546,0,1546,0,2,0,3,7,Typ,0,0,Attchd,2,3,796,3,3,Y,144,42,NA,WD ,Normal,217000
RM,65,8850,Pave,NA,Bnk,Corner,OldTown,Norm,Norm,1Fam,2.5Unf,7,1916,1950,Gable,CompShg,MetalSd,MetalSd,NA,0,2,BrkTil,3,3,1,1,0,815,GasA,4,1,4,815,875,1690,0,1,0,2,7,Typ,1,4,Detchd,1,1,225,3,3,Y,0,0,NA,ConLw,Normal,144000
RL,98,11478,Pave,NA,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,8,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200,3,PConc,5,3,1,6,1218,1704,GasA,4,1,4,1704,0,1704,1,2,0,3,7,Typ,1,4,Attchd,2,3,772,3,3,Y,0,50,NA,WD ,Normal,306000
RM,60,10440,Pave,Grvl,Lvl,Corner,OldTown,Norm,Norm,1Fam,1.5Fin,6,1920,1950,Gable,CompShg,BrkFace,Wd Sdng,NA,0,3,BrkTil,4,3,1,2,493,1510,GasW,4,1,4,1584,1208,2792,0,2,0,2,8,Mod,2,3,Detchd,1,2,520,2,3,Y,0,547,Shed,WD ,Normal,256000
FV,100,12552,Pave,NA,Lvl,Corner,Somerst,Norm,Norm,1Fam,2Story,7,2004,2005,Gable,CompShg,VinylSd,VinylSd,NA,0,3,PConc,4,3,1,6,222,991,GasA,4,1,4,991,956,1947,0,2,1,3,8,Typ,1,4,Attchd,2,2,678,3,3,Y,0,136,NA,WD ,Normal,254900
RL,182,14572,Pave,NA,Lvl,Corner,Gilbert,Norm,Norm,1Fam,1Story,7,2004,2004,Hip,CompShg,VinylSd,VinylSd,NA,0,3,PConc,4,3,3,6,1300,1530,GasA,4,1,4,1530,0,1530,1,2,0,3,7,Typ,1,4,Attchd,3,3,630,3,3,Y,144,36,NA,WD ,Family,259000
RL,0,9503,Pave,NA,Lvl,Inside,Nonemes,Norm,Norm,1Fam,1Story,5,1958,1983,Hip,CompShg,HdBoard,HdBoard,NA,0,2,CBlock,3,3,1,5,457,1024,GasA,2,1,4,1344,0,1344,1,1,0,2,6,Min1,1,3,Detchd,1,1,484,3,3,Y,316,28,NA,WD ,Normal,144000
FV,0,8470,Pave,NA,Lvl,Corner,Somerst,Norm,Norm,1Fam,2Story,8,2002,2002,Gable,CompShg,VinylSd,VinylSd,NA,0,3,PConc,4,3,1,6,225,972,GasA,4,1,4,972,839,1811,0,2,1,3,7,Typ,1,4,Attchd,2,2,565,3,3,Y,225,48,NA,WD ,Normal,235000
RL,82,16052,Pave,NA,Lvl,CulDSac,StoneBr,Norm,Norm,1Fam,2Story,10,2006,2006,Hip,CompShg,VinylSd,VinylSd,Stone,734,4,PConc,5,3,1,6,1206,1850,GasA,4,1,4,1850,848,2698,1,2,1,4,11,Typ,1,4,Attchd,2,3,736,3,3,Y,250,0,NA,New,Partial,535000
RL,70,8267,Pave,NA,Lvl,Corner,Nonemes,Feedr,Norm,Duplex,1Story,5,1958,1958,Gable,CompShg,HdBoard,HdBoard,NA,0,2,CBlock,3,3,1,1,0,1604,GasA,2,1,4,1604,0,1604,0,2,0,2,8,Typ,0,0,Attchd,1,2,576,3,3,Y,42,0,NA,WD ,Normal,135000
RL,60,7180,Pave,NA,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,5,1972,1972,Hip,CompShg,HdBoard,HdBoard,NA,0,2,CBlock,3,3,3,5,390,864,GasA,2,1,4,864,0,864,0,1,0,2,5,Typ,0,0,Detchd,1,1,352,3,3,Y,0,0,NA,WD ,Normal,127000
RL,39,15410,Pave,NA,Lvl,CulDSac,Sawyer,RRNe,Norm,1Fam,1Story,6,1974,2002,Hip,CompShg,Plywood,Plywood,BrkCmn,250,2,CBlock,3,3,4,4,126,1208,GasA,4,1,4,1494,0,1494,1,2,0,2,7,Typ,2,2,Attchd,3,2,461,3,3,Y,296,0,NA,WD ,Abnorml,169000
RL,62,7130,Pave,NA,Lvl,Inside,Nonemes,Norm,Norm,1Fam,1Story,5,1967,1967,Gable,CompShg,HdBoard,HdBoard,NA,0,2,PConc,3,3,1,4,648,864,GasA,2,1,4,864,0,864,0,1,0,2,5,Typ,0,0,Attchd,3,1,312,3,3,Y,0,0,NA,WD ,Normal,130000
RM,60,6000,Pave,Grvl,Lvl,Corner,OldTown,Norm,Norm,1Fam,2Story,5,1905,2005,Gable,CompShg,MetalSd,MetalSd,NA,0,3,BrkTil,2,3,1,1,0,572,GasA,4,1,4,884,656,1540,0,1,1,3,7,Typ,0,0,NA,0,0,0,0,0,N,240,77,NA,WD ,Normal,129400
RL,80,10197,Pave,NA,Lvl,Inside,Nonemes,Norm,Norm,1Fam,1Story,6,1961,1961,Gable,CompShg,WdShing,Wd Shng,BrkCmn,491,2,CBlock,3,3,1,5,288,1362,GasA,2,1,4,1362,0,1362,1,1,1,2,6,Typ,1,3,Attchd,1,2,504,3,3,Y,0,20,NA,COD,Normal,163000
RL,60,10800,Pave,NA,Lvl,Inside,Nonemes,Norm,Norm,1Fam,1.5Fin,4,1949,1950,Gable,CompShg,AsbShng,AsbShng,NA,0,2,CBlock,3,3,1,1,0,720,GasA,2,0,3,720,472,1192,0,1,1,2,6,Typ,0,0,NA,0,0,0,0,0,Y,0,0,NA,WD ,Abnorml,135000
RL,68,8842,Pave,NA,Lvl,Corner,Edwards,Norm,Norm,1Fam,1Story,5,1954,1954,Gable,CompShg,VinylSd,VinylSd,NA,0,2,CBlock,2,3,1,1,0,381,GasA,4,1,4,992,0,992,0,1,0,2,6,Typ,0,0,Detchd,1,1,319,3,3,Y,60,0,NA,Oth,Abnorml,155891
RL,70,7315,Pave,NA,Lvl,Inside,Nonemes,Norm,Norm,1Fam,1Story,5,1958,1958,Hip,CompShg,BrkFace,BrkFace,NA,0,2,CBlock,3,3,1,3,625,1170,GasA,2,1,4,1170,0,1170,0,1,0,2,6,Typ,1,3,Attchd,2,1,338,3,3,Y,0,0,NA,WD ,Normal,140000
RL,0,13346,Pave,NA,Lvl,CulDSac,NoRidge,Norm,Norm,1Fam,2Story,7,1992,2000,Gable,CompShg,HdBoard,HdBoard,NA,0,3,PConc,4,3,1,6,728,1095,GasA,4,1,4,1166,1129,2295,1,2,1,3,9,Typ,1,3,Attchd,2,2,590,3,3,Y,0,40,NA,WD ,Normal,268000
RL,0,7500,Pave,NA,Bnk,Inside,Crawfor,Norm,Norm,1Fam,2Story,6,1942,1950,Gable,CompShg,Wd Sdng,Wd Sdng,NA,0,2,CBlock,3,3,1,4,547,771,GasA,1,1,4,753,741,1494,0,1,0,3,7,Typ,2,4,Attchd,1,1,213,3,3,P,0,0,NA,WD ,Normal,177500
FV,68,8736,Pave,NA,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,7,2003,2004,Gable,CompShg,VinylSd,Wd Shng,NA,0,3,PConc,4,3,1,6,771,1553,GasA,4,1,4,1553,0,1553,1,2,0,3,6,Typ,0,0,Attchd,2,2,588,3,3,Y,192,88,NA,WD ,Normal,234500
FV,24,2280,Pave,Pave,Lvl,Inside,Somerst,Norm,Norm,Twnhs,2Story,6,1999,1999,Gable,CompShg,MetalSd,MetalSd,BrkFace,342,2,PConc,4,3,1,6,565,744,GasA,3,1,4,757,744,1501,1,2,1,2,6,Typ,1,3,Detchd,1,2,440,3,3,Y,0,0,NA,WD ,Normal,176500
RL,0,9477,Pave,NA,Lvl,Corner,Nonemes,Norm,Norm,1Fam,1Story,5,1966,1966,Gable,CompShg,HdBoard,HdBoard,BrkFace,65,2,CBlock,3,3,1,3,340,864,GasA,2,1,4,892,0,892,0,1,0,2,5,Typ,0,0,Attchd,2,1,264,3,3,Y,0,0,NA,WD ,Normal,110000
RL,51,4712,Pave,NA,Lvl,Inside,BrkSide,Feedr,Norm,1Fam,1.5Fin,4,1946,1950,Gable,CompShg,MetalSd,MetalSd,NA,0,2,CBlock,3,3,1,5,384,747,GasA,2,1,4,774,456,1230,1,1,1,2,5,Typ,0,0,Detchd,1,1,305,3,3,Y,0,57,NA,WD ,Abnorml,121600
RL,60,8172,Pave,NA,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,5,1955,1990,Hip,CompShg,WdShing,Plywood,NA,0,2,CBlock,3,3,1,3,167,864,GasA,2,1,4,864,0,864,1,1,0,2,5,Typ,0,0,Detchd,1,2,572,3,3,N,0,0,NA,WD ,Normal,115000
RL,0,12104,Pave,NA,Lvl,FR3,Gilbert,Norm,Norm,1Fam,2Story,7,2006,2006,Gable,CompShg,VinylSd,VinylSd,NA,0,3,PConc,4,3,1,1,0,1035,GasA,3,1,4,1082,1240,2322,0,3,1,3,8,Typ,0,0,Attchd,2,3,617,3,3,Y,400,45,NA,New,Partial,287602
RL,78,9978,Pave,NA,Lvl,Inside,Gilbert,Norm,Norm,1Fam,2Story,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20,2,PConc,3,3,1,6,602,926,GasA,4,1,4,926,678,1604,0,2,1,3,7,Typ,1,4,Attchd,3,2,470,3,3,Y,360,36,NA,WD ,Normal,195500
RL,48,3242,Pave,NA,Lvl,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,7,2003,2003,Gable,CompShg,VinylSd,Wd Shng,Stone,235,3,PConc,4,3,1,6,1000,1405,GasA,4,1,4,1405,0,1405,1,2,0,3,6,Typ,1,4,Attchd,2,2,478,3,3,Y,136,36,NA,WD ,Normal,200000
FV,0,4447,Pave,NA,Lvl,FR2,Somerst,Norm,Norm,TwnhsE,2Story,7,2003,2003,Gable,CompShg,VinylSd,VinylSd,NA,0,3,PConc,4,3,1,1,0,530,GasA,4,1,4,530,550,1080,0,2,1,3,4,Typ,0,0,Attchd,2,2,496,3,3,Y,0,50,NA,WD ,Normal,139000
RL,61,7577,Pave,NA,Lvl,Corner,NridgHt,Norm,Norm,TwnhsE,1Story,6,2005,2006,Gable,CompShg,VinylSd,VinylSd,Stone,256,3,PConc,4,3,3,5,20,1362,GasA,4,1,4,1362,0,1362,0,2,0,3,6,Typ,1,4,Attchd,2,2,460,3,3,Y,192,28,NA,WD ,Normal,194700
RL,63,13072,Pave,NA,Lvl,Inside,SawyerW,RRAe,Norm,1Fam,1Story,6,2005,2005,Gable,CompShg,VinylSd,VinylSd,NA,0,3,PConc,4,3,1,1,0,1141,GasA,4,1,4,1141,0,1141,0,1,1,2,6,Typ,0,0,Detchd,1,2,484,3,3,Y,0,0,NA,WD ,Abnorml,142500
RL,73,8990,Pave,NA,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,2006,2006,Gable,CompShg,VinylSd,VinylSd,NA,0,3,PConc,4,3,2,1,0,1498,GasA,4,1,4,1498,0,1498,0,2,0,3,5,Typ,0,0,Attchd,2,2,675,3,3,Y,351,33,NA,New,Partial,204900
RL,85,10667,Pave,NA,Lvl,Inside,Nonemes,Norm,Norm,1Fam,1Story,6,1971,1971,Gable,CompShg,MetalSd,MetalSd,BrkFace,302,2,CBlock,3,3,1,4,838,1587,GasA,2,1,4,1587,0,1587,0,2,0,2,7,Typ,1,4,Attchd,1,2,525,3,3,Y,0,44,NA,WD ,Normal,167300
RL,110,14300,Pave,NA,HLS,Inside,NridgHt,Norm,Norm,1Fam,1Story,9,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,1095,4,PConc,5,3,4,6,1373,2846,GasA,4,1,4,2696,0,2696,1,2,1,4,10,Typ,2,4,Attchd,3,3,958,3,3,Y,220,150,NA,WD ,Normal,500000
FV,85,9187,Pave,NA,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,9,2009,2009,Gable,CompShg,CemntBd,CmentBd,Stone,162,4,PConc,5,3,2,6,1121,1766,GasA,4,1,4,1766,0,1766,1,2,1,4,7,Typ,1,4,Attchd,3,3,478,3,3,Y,195,130,NA,New,Partial,370878
RL,0,13495,Pave,NA,Lvl,Corner,Nonemes,Norm,Norm,1Fam,1Story,5,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,70,2,CBlock,3,3,1,4,625,1048,GasA,1,1,4,1728,0,1728,1,2,0,2,7,Min1,1,4,Detchd,1,2,576,3,3,Y,0,99,NA,WD ,Normal,177625
RL,67,8777,Pave,NA,Bnk,Inside,Edwards,Feedr,Norm,1Fam,2Story,4,1910,2000,Gable,CompShg,Plywood,Plywood,NA,0,2,CBlock,4,3,1,3,173,676,GasA,3,1,4,760,676,1436,1,2,0,2,6,Min1,0,0,Attchd,1,2,528,3,3,Y,147,0,Shed,WD ,Normal,98000
RL,75,9317,Pave,NA,Lvl,Inside,SawyerW,Norm,Norm,1Fam,2Story,7,1993,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,137,3,PConc,4,3,1,5,513,740,GasA,4,1,4,1006,769,1775,1,2,1,3,7,Typ,1,3,Attchd,1,2,425,3,3,Y,234,72,NA,WD ,Normal,213000
RL,84,8658,Pave,NA,Lvl,Inside,Nonemes,Norm,Norm,1Fam,1Story,6,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101,2,CBlock,3,3,1,3,643,1088,GasA,4,1,4,1324,0,1324,0,2,0,2,6,Typ,1,3,Attchd,2,2,440,3,3,Y,0,138,NA,WD ,Abnorml,160000
RL,80,10386,Pave,NA,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,8,2004,2005,Gable,CompShg,CemntBd,CmentBd,Stone,246,3,PConc,4,3,1,6,1464,2000,GasA,4,1,4,2000,0,2000,1,2,0,3,8,Typ,0,0,Attchd,3,3,888,3,3,Y,168,0,NA,WD ,Normal,305900
RL,80,8480,Pave,NA,Lvl,Inside,Nonemes,Norm,Norm,1Fam,1.5Fin,5,1947,1950,Gable,CompShg,MetalSd,MetalSd,NA,0,2,CBlock,3,3,1,3,442,832,GasA,2,1,4,832,384,1216,0,1,0,2,6,Typ,0,0,Detchd,1,1,336,3,3,Y,158,0,NA,COD,Abnorml,118500
FV,72,8640,Pave,NA,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,8,2007,2008,Gable,CompShg,VinylSd,VinylSd,NA,0,3,PConc,4,3,1,6,24,1363,GasA,4,1,4,1372,0,1372,0,2,0,3,6,Typ,0,0,Attchd,2,2,588,3,3,Y,192,113,NA,New,Partial,212700
RL,82,9888,Pave,NA,Lvl,Inside,Nonemes,Norm,Norm,1Fam,1Story,5,1954,1975,Gable,CompShg,MetalSd,MetalSd,NA,0,2,CBlock,3,3,1,4,486,936,GasA,2,1,3,936,0,936,0,1,0,2,5,Typ,0,0,Attchd,1,1,240,3,3,Y,0,0,NA,WD ,Normal,121000
RL,57,8846,Pave,NA,Lvl,CulDSac,CollgCr,Norm,Norm,1Fam,SFoyer,5,1996,1996,Gable,CompShg,VinylSd,VinylSd,NA,0,3,PConc,4,3,3,6,298,870,GasA,4,1,4,914,0,914,0,1,0,2,5,Typ,0,0,Detchd,1,2,576,3,3,Y,0,0,NA,WD ,Normal,148000
RL,0,53227,Pave,NA,Low,CulDSac,ClearCr,Norm,Norm,1Fam,1Story,4,1954,1994,Flat,Tar&Grv,Plywood,Plywood,NA,0,2,CBlock,4,3,4,4,1116,1364,GasA,4,1,4,1663,0,1663,1,1,0,3,6,Min1,2,4,Attchd,3,2,529,3,3,Y,224,137,NA,WD ,Normal,256000
